Site_ID,Site_Name,Land_Use_Class,Surface_Temp_C,Tree_Canopy_Pct,Impervious_Pct,Grass_Shrub_Pct,Water_Pct,NDVI,Distance_To_Water_m,Distance_To_Park_m,Building_Density,Road_Density,Notes
S01,Downtown Parking Edge,Commercial,40.6,4,88,3,0,0.1,980,760,82,91,Large paved surface with very little shade.
S02,Warehouse District,Industrial,39.2,7,81,6,0,0.13,1220,980,74,83,Broad roofs and pavement dominate the block.
S03,Highway Commercial Strip,Commercial,38.3,9,78,7,0,0.15,870,640,68,88,Roads and parking lots create a warm site.
S04,School Playground,Institutional,36.1,14,62,18,0,0.23,610,210,52,64,Mixed pavement and grass with limited shade.
S05,Apartment Courtyard,Residential,34.7,21,49,25,0,0.34,740,330,48,56,Moderate vegetation breaks up paved surfaces.
S06,Neighborhood Street,Residential,33.8,28,43,24,0,0.4,910,450,41,51,Street trees provide partial shade.
S07,Community Garden,Green Space,32.5,32,29,37,0,0.49,680,120,28,38,"Vegetation is abundant, but tree canopy is moderate."
S08,Shaded Residential Block,Residential,31.4,43,31,23,0,0.55,830,270,34,44,Mature trees shade houses and sidewalks.
S09,Park Lawn,Park,30.6,38,14,45,0,0.61,360,0,12,20,Open grass and scattered trees keep the site cooler.
S10,Riparian Trail,Green Space,29.4,55,12,26,4,0.68,55,0,9,18,Trees and nearby water reduce heat.
S11,Urban Forest Patch,Park,28.7,68,7,20,1,0.74,190,0,6,12,Dense canopy creates the coolest site in the training set.
